ASSINATURA;VENCIMENTO;FORNECEDOR;VALOR;OBJETIVO
01/03/2010;31/12/2010;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS-APAE;165044.23;O PRESENTE CONVÊNIO TEM POR OBJETO REPASSE DE RECURSOS PARA ATENDIMENTO DO PLANO DE TRABALHO DESCRITO FLS. 04/05 - ATENDIMENTO ESPECIALIZADO AO PORTADOR DE DEFICIÊNCIA QUE APRESENTEM DIFICULDADE DE APRENDIZAGEM - PROCESSO ADMINISTRATIVO N° 2286/2010.
01/03/2010;31/12/2010;ASSOCIACAO PESTALOZZI DE FRIBURGO;68035.21;O PRESENTE CONVÊNIO TEM POR OBJETO O ATENDIMENTO ESPECIALIZADO PARA ALUNOS COM DEFICIÊNCIAS E NECESSIDADES EDUCACIONAIS ESPECIAIS PROVENIENTES DA REDE PÚBLICA MUNICIPAL DE ENSINO.
01/03/2010;31/12/2010;CRECHE COLMEIA DO SENHOR;273420;O PRESENTE CONVÊNIO TEM O OBJETO O ATENDIMENTO DE CRIANÇAS CARENTES PROVENIENTES DE FAMÍLIA DE BAIXA RENDA A TÍTULO DE SUBVENÇÃO. COM TODAS AS ETAPAS E FORNECIMENTO DOS RECURSOS HUMANOS E MATERIAIS.
01/04/2010;31/12/2010;ASSOC FRIBURG. DE AMIGOS E PAIS DO EDUCANDO  AFAPE;137812.5;O PRESENTE CONVÊNIO TEM POR OBJETO O ATENDIMENTO A PESSOAS PORTADORAS DE DEFICIÊNCIA A TÍTULO DE SUBVENÇÃO.
01/05/2010;31/12/2010;GRUPO DE PROMOCAO HUMANA - GPH;50715;O PRESENTE CONVÊNIO TEM POR OBJETO O ATENDIMENTO GRATUITO A 25 CRIANÇAS CARENTES NA FAIXA ETÁRIA DE 01 A 06 ANOS.
01/07/2010;31/12/2010;ACAO SOCIAL ANCHIETA - ASA;42000;O PRESENTE CONVÊNIO TEM POR OBJETO O ATENDIMENTO GRATUITO A 100 CRIANÇAS CARENTES NA FAIXA DE 00 A 06 ANOS NO BAIRRO DE CONSELHEIRO PAULINO.
18/09/2010;28/09/2010;ASSOCIACAO DOS ARTISTAS DE NOVA FRIBURGO;20000;CONVÊNIO TEM POR OBJETO A CONTRATAÇÃO DE ARTISTAS NAS MAIS VARIADAS EXPRESSÕES. INCLUINDO LOCAÇÃO DE SOM. LUZ E DEMAIS SERVIÇOS.
01/10/2010;31/12/2010;CLUBE DOS AMIGOS DE NOVA FRIBURGO - CANF;5181.04;CONVÊNIO QUE ENTRE SI CELEBRAM O MUNICÍPIO DE NOVA FRIBURGO E O CLUBE DOS AMIGOS DE NOVA FRIBRUGO E TEM COMO OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DAS ATIVIDADES.
