ASSINATURA;VENCIMENTO;FORNECEDOR;VALOR;OBJETIVO
20/03/2014;31/12/2014;CRECHE COLMEIA DO SENHOR;640113.6;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES.
31/03/2014;31/12/2014;ACAO SOCIAL ANCHIETA - ASA;203212;O PRESENTE CONVENIO TEM POR  OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES.Ç
31/03/2014;31/12/2014;ASSOCIACAO DE PAIS E AMIGOS DA CRIANCA- APAC;254010;O PRESENTE CONVÊNIO TEM POR OBJETIVO SUBVENCIONAR  A  CONVENIADA NA MANUTENÇÃO MDO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES. COM AS ETAPAS E METAS PROPOSTAS.
31/03/2014;31/12/2014;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS-APAE;381024;
31/03/2014;31/12/2014;ASSOCIACAO PESTALOZZI DE FRIBURGO;127008;O PRESENTE PROCEDIMENTO POR POR OBJETIVO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES. COM TODAS AS ETAPAS E METAS. CONFORME DISPOSTO NO PLANO DE TRABALHO DESCRITO ÀS FLS  04/12.DO PROCESSO ADMINISTRATIVO N 5004/1
16/04/2014;18/04/2014;MITRA DIOCESANA DE NOVA FRIBURGO;37000;O PRESENTE CONVÊNIO TEM POR OBJETO  A REALIZAÇÃO DE ESPETÁCULO RELIGIOSO. CULTURAL E TURÍSTICO - DENOMINAD0O VIA SACRA NA FORMA DO PLANO DE TRABALHO..
17/04/2014;31/12/2014;SOCIEDADE MUSICAL BENEF. EUTERPE FRIBURGUENSE;140000;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLANO DE DESENVOLVIMENTO DE SUAS ATIVIDADES DISPOSTAS NO PLANO DE TRABALHO ÀS FLS. 0/3 A 0/9.
30/04/2014;31/12/2014;SOCIEDADE MUSICAL EUTERPE LUMIARENSE;60000;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR  A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTODE SUAS ATIVIDADES COM TODAS AS ETAPAS E METAS DISPOSTAS  NO PLANO...
30/04/2014;31/12/2014;MITRA DIOCESANA DE NOVA FRIBURGO;174078;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR   A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES . COM TODAS AS ETAPAS E METAS PREVISTAS NO PLANO DE TRABALHO...
30/04/2014;31/12/2014;INSTITUTO BELGICA-NOVA FRIBURGO;184157.25;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIODADES. COM TODAS AS ETAPAS E METAS. CONFORME O DISPOSTO NO PLANO DE TRABALHO DESCRITO ÀS FLS 03/07 DO PROCESSO ADMINISTRATIVO 5979/14
12/05/2014;18/05/2014;MITRA DIOCESANA DE NOVA FRIBURGO;35000;O PRESENTE CONVENIO TEM POR OBJETO A REALIZAÇÃO DE ESPETÁCULO RELIGIOSO CULTURAL E TURÍSTICO - SOLENIDADE DE CORPUS CHRISTI - ..
06/05/2014;31/12/2014;ASSOCIACAO SAO VICENTE DE PAULO;175225.36;O  PRESENTE CONVÊNIO. TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ETAPAS E METAS. CONFORME O DISPOSTO. ..
30/05/2014;30/06/2014;UNIÃO BRASILEIRA DE TROVADORES - NOVA FRIBURGO;15000;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A  CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES  COM TODAS AS ETAPAS E METAS . COM AREALIZAÇÃO DOS JOGOS FLORAIS CONFORME O DISPOSTO....
05/05/2014;31/12/2014;LAR ABRIGO AMOR A JESUS;83000;O PRESENTE CONVENIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES. COM TODAS AS ETAPAS E METAS. CONFORME O DISPOSTO NO PLANO DE TRABALHO DESCRITO NO PROCESSO ADMINISTRATIVO 10109/14
05/05/2014;31/12/2014;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS-APAE;98551.84;O PRESENTE CONVÊNIO  TEM. POR OBJETO. SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DOS OBJETIVOS DESCRITOS NO PLANO DE TRABALHO DE FLS. 04 E 05 DO CITADO PROCESSO ADMINISTRATIVO
26/05/2014;31/12/2014;INSTITUTO GIRASOL DO BRASIL;127008; O PRESENTE  CONVÊNIO  TEM POR OBJETO SUBVENCIONAR  O CONVENIADO NA MANUTENÇÃO DO PLENO  DESENVILVIMENTO DE SUAS ATIVIDADES. COM TODAS AS ETAPAS E METAS...
05/05/2014;31/12/2014;ASSOC FRIBURG. DE AMIGOS E PAIS DO EDUCANDO  AFAPE;135001.12;
05/05/2014;31/12/2015;ASSOC FRIBURG. DE AMIGOS E PAIS DO EDUCANDO  AFAPE;135001.12;O PRESENTE CONVENIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DEENVOLVIMENTO DE SUAS ATIVIDADES. COM TODAS AS ETAPAS E METAS  CONFORME O DISPOSTO  NO PLANO DE TRABALHO DESCRITO DE FLS. 01/02 DO  PROCESSO ADMINISTRATIVO Nº 10104/14.
30/06/2014;31/12/2014;ASSOCIACAO DE PAIS E AMIGOS DA CRIANCA- APAC;122144;O PRESENTE CONVENIO TEM POR OBJETO  SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES COM TODAS AS ETAPAS
23/06/2014;31/12/2014;SOCIEDADE MUSICAL BENEFIC. CAMPESINA FRIBURGUENSE;140000;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DE PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES. COM TODAS AS ETAPAS E METAS CONFORME O DISPOSTO NO PLANO DE TRABALHO DESCRITO ÀS FLS. 10/11 DO PROCESSO ADMINISTRATIVO 10632/14
04/06/2014;03/06/2016;PREFEITURA MUNICIPAL DE NOVA FRIBURGO;1;O PRESENTE CONVÊNIO TEM POR OBJETO A COOPERAÇÃO TÉCNICA. CIENTÍFICA E PROFISSIONAL ENTRE OS SIGNATÁRIOS. POSSIBILITANDO A CESSÃO E PERMUTA DE FUNCIONÁRIOS  PÚBLICOS ESTÁVEIS. VIABILIZANDO DESTA FORMA. A INTEGRAÇÃO ENTRE CONVENENTES.NESTE CONVÊNIO. AS PA
03/07/2014;31/12/2014;INSTITUTO GIRASOL DO BRASIL;50000;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR  O CONVENIADO NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES COMTODAS AS SUAS ETAPAS E NETAS CONFORME O DISPOSTO NO PLANO DE TRABALHO DESCRITO ÀS FLS. 90/94 DO PROCESSO ADMINISTRATIVO Nº 10795/14.
30/07/2014;31/12/2014;ASSOCIACAO PESTALOZZI DE FRIBURGO;60000;O PRESENTE CONVENIO. TEM POR OBJETO. SUBVENCIONAR  A CONVENIADA NA MANUTENÇÃO  DO PLENO DESENVOLVIMENTO  DAS SUAS ATIVIDADES . COM TODAS AS ETAPAS E METAS CONFORME  O DISPOSTO  NO PLANO DE TRABALHO DESCRITO NO PROCESSO ADMINISTRATIVO Nº 13323/14.
22/08/2014;31/12/2014;ASSOCIAÇÃO ESPORTIVA DOS CLUBES DE FUTEBOL OLARIA CONEGO E CASCATINHA -AESPORT;10000;O PRESENTE CONVENIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO  PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES. COM TODAS AS ETAPAS E METAS. CONFORME DISPOSTO DO PLANO DE TRABALHO DESCRITOS AS FOLHAS 36/37 DO PROCESSO ADMINISTRATIVO 15776/14
13/11/2014;31/12/2014;MUNICÍPIO DE NOVA FRIBURGO;15000;O PRESENTE CONVENIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES. COM TODAS AS ETAPAS  E METAS. CONFORME O DISPOSTO  NO PLANO DE TRABALHO DESCRITO ÀS FLS. 06/07 DO  PROCESSO ADMINISTRATIVO Nº 24132/201
12/12/2014;31/12/2016;PREFEITURA MUNICIPAL DE CANTAGALO;0.1;O CONVÊNIO TEM POR OBJETO A COOPERAÇÃO TÉCNICA. CIENTÍFICA E PROFISSIONAL ENTRE  OS SIGNATÁRIOS. POSSIBILITANDO  A CESSÃO E PERMUTA DE FUNCIONÁRIOS PÚBLICOS ESTÁVEIS. VIABILIZANDO.  DESTA FORMA. A INTEGRAÇÃO ENTRE O0S CONVENENTES.
