ASSINATURA;VENCIMENTO;FORNECEDOR;VALOR;OBJETIVO
16/01/2014;16/01/2018;UNIVERSIDADE ESTÁCIO DE SÁ;1;O PRESENTE ACORDO TEM POR OBJETIVO INSTITUIR COOPERAÇÃO TÉCNICO-CIENTÍFICO ENTRE AS CONVENENTES COM VISTAS AO DESENVOLVIMENTO DE PROGRAMAS. PROJETOS E ATIVIDADES NO CAMPO DE PESQUISA. ENSINO. EXTENSÃO. ESTÁGIO CURRICULAR OBRIGATÓRIO. DESENVOLVIMENTO TECN
17/02/2014;06/03/2014;G.R.E.S UNIDOS DA SAUDADE;46309.94;O PRESENTE CONVÊNIO TEM POR OBJETO O REPASSE A TÍTULO DE SUBVENÇÃO PARA ESCOLA QUE DEVRÁ REALIZAR O DESFILE NO CARNAVAL DE 2014.
17/02/2014;06/03/2014;GÊMIO RECREATIVO VILAGE NO SAMBA;46309.94;O PRESENTE CONVÊNIO TEM POR OBJETO O REPASSE A TÍTULO DE SUBVENÇÃO PARA ESCOLA. QUE DEVERÁ REALIZAR O DESFILE NO CARNAVAL DE 2014.
19/02/2014;31/12/2014;COMBINA - COMPANHIA DOS BICHOS E DA NATUREZA;100000;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES.
17/02/2014;06/03/2014;LIGA IDEPENDENTE DAS ESCOLAS DE SAMBA;117590;O PRESENTE CONVÊNIO TEM POR OBJETO O REPASSE A TÍTULO DE SUBVENÇÃO PARA A LIGA. PARA A REALIZAÇÃO DO CARNAVAL 2014.
17/02/2014;06/03/2014;G.R. BLOCO CARNAVALESCO GLOBO DE OURO;23154.33;O PRESENTE CONVÊNIO TEM POR OBJETO A O REPASSE DE SUBVENÇÃO PARA BLOCO. QUE DEVERÁ REALIZAR O DESFILE DE MODO A OFERECER A POPULAÇÃO UM ENTRETENIMENTO DE ALTO NÍVEL.
17/02/2014;16/04/2014;G.R. BLOCO CARNAVALESCO BOLA BRANCA;23154.33;O PRESENTE CONVÊNIO TEM POR OBJETO O REPASSE A TÍTULO DE SUBVENÇÃO PARA BLOCO QUE MDEVERÁ REALIZAR O DESFILE DE CARNAVAL DE  2014. NA AVENIDA ALBERTO BRAUNE. NESTA  CIDADE.
17/02/2014;25/02/2014;G.R. BLOCO CARNAVALESCO UNIDOS DO IMPERADOR;23154.33;O MPRESENTE CONVENIO. TEM POR OBJETO MO REPASSE A TITULO DE SUBVENÇÃO PARA BLOCO. QUE DEVERÁ REALIZAR O DESFILE NO  CARNAVAL DE 2014. NA AVENIDA ALBERTO BRAUNE....
17/02/2014;17/03/2014;GRES IMPERATRIZ DE OLARIA;46309.94;O PRESENTE CONVÊNIO TEM POR OBJETO O REPASSE A TPITULO DE SUBVENÇÃO  PARA A ESCOLA QUE DEVERÁ REALIZAR O DESFILE NO CARNAVAL DE 2014 NA AVENIDA ALBERTO BRAUNE. Nº 225. NESTA CIDADE CONFORME O DESCRITO NO PLANO DE TRABALHO DE FLS. 03/07 -= DO PROCESSO ADMI
20/03/2014;31/12/2014;ASSOC FRIBURG. DE AMIGOS E PAIS DO EDUCANDO  AFAPE;381024;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR  CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES.
