ASSINATURA;VENCIMENTO;FORNECEDOR;VALOR;OBJETIVO
13/05/2013;31/12/2013;INSTITUTO BELGICA-NOVA FRIBURGO;174000;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES.
26/05/2013;31/12/2013;INSTITUTO DE ESPORTES E CULTURA DE NOVA FRIBURGO;15000;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES.
08/05/2013;31/12/2016;EMATER - RIO;144000;CONSTITUI OBJETO DO PRESENTE CONVÊNIO A PRESTAÇÃO DE SERVIÇOS DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL - ATER AOS PRODUTORES DO MUNICÍPIO DE NOVA FRIBURGO.
27/06/2013;27/06/2014;EMATER - RIO;0.1;O PRESENTE CONVÊNIO DE COOPERAÇÃO TÉCNICA TEM POR OBJETO O DETALHAMENTO DA COLABORAÇÃO ENTRE OS PARTÍCIPES. EM CONFORMIDADE COM O PROGRAMA ESTRADAS DA PRODUÇÃO A PRESTAÇÃO DE SERVIÇOS DE RECUPERAÇÃO E ADEQUAÇÃO DAS ESTRADAS VICINAIS.CLÁUSULA QUINTA - DOS RECURSOS FINANCEIROS.O PRESENTE CONVÊNIO NÃO IMPLICARÁ REPASSE DE RECURSOS FINANCEIROS ENTRE OS PARTÍCIPES. RESPONDENDO CADA QUAL PELAS DESPESAS DECORRENTES DAS ATIVIDADES ASSUMIDAS. AS QUAIS ONERARÃO AS DOTAÇÕES PRÓPRIAS DOS RESPECTIVOS ORÇAMENTOS ESTADUAL E MUNICIPAL.
28/06/2013;31/12/2013;ASSOCIACAO SAO VICENTE DE PAULO;159295.71;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES.
28/06/2013;31/12/2013;ASSOCIACAO DE PAIS E AMIGOS DA CRIANCA- APAC;233625.6;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES.
11/06/2013;31/12/2013;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS-APAE;240000;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES. COM TODAS AS ETAPAS E METAS.
11/06/2013;31/12/2013;ASSOCIACAO PESTALOZZI DE FRIBURGO;120000;
29/07/2013;29/08/2013;UNIAO BRASILEIRA DE TROVADORES  -  NOVA FRIBURGO;15000;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES.
08/07/2013;31/07/2013;MITRA DIOCESANA DE NOVA FRIBURGO;35000;O PRESENTE CONVÊNIO TEM POR OBJETO A REALIZAÇÃO DE EVENTO RELIGIOSO. CULTURAL E TURÍSTICO - DENOMINADO JORNADA MUNDIAL DA JUVENTUDE (SEMANA MISSIONÁRIA)
14/08/2013;13/02/2017;RIO DAS OSTRAS;1;O CONVÊNIO TEM POR OBJETO A COOPERAÇÃO TÉCNICA. CIENTÍFICA E PROFISSIONAL ENTRE OS CONVENENTES. PERMITINDO A PERMUTA DE FUNCIONÁRIOS PÚBLICOS. COM O OBJETIVO DE MELHOR INTEGRAÇÃO.
26/09/2013;31/12/2013;ASSOCIAÇÃO ESPORTIVA DOS CLUBES DE FUTEBOL OLARIA CONEGO E CASCATINHA -AESPORT;10000;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTOS DE SUAS ATIVIDADES. COM AS ETAPAS E METAS DETALHADAS NO PLANO DE TRABALHO.
15/10/2013;02/07/2014;LAR ABRIGO AMOR A JESUS;80000;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES. COM TODAS AS ETAPAS E METAS ESTABELECIDAS NO PLANO DE TRABALHO.
15/10/2013;31/12/2013;LAR ABRIGO AMOR A JESUS;80000;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES. COM TODAS AS ETAPAS E METAS ESTABELECIDAS CONFORME PLANO DE TRABALHO.
26/12/2013;31/01/2014;ASSOCIAÇÃO DE FOL.IA DE REIS DE NOVA FRIBURGO;15000;O PRESENTE CONVÊNIO TEM POR OBJETO A REALIZAÇÃO DA JORNADA DE ENCONTRO DE FOLIAS DE REIS. COM ESPECIFICAÇÕES CONSTATES NO PROC. ADM. 25431/13.
